Local;logradouro;bairro;fone;como_usar;horario;latitude;longitude
Centro de Saúde Bidu Krause;3A Travessa Onze de Agosto;Curado;;"Os usuários devem levar um documento oficial de identificação e documentos comprobatórios e/ou comprovante de residência em seu nome, quando for necessário. Nos casos de 2a dose, levar documento e o cartão de vacinação.";Domingo à Domingo das 07:30 às 17:30;-8.078315;-34.971072
Centro de Saúde Fernandes Figueira;"Pça. Jardim São Paulo, s/n";Jardim São Paulo;;"Os usuários devem levar um documento oficial de identificação e documentos comprobatórios e/ou comprovante de residência em seu nome, quando for necessário. Nos casos de 13a dose, levar documento e o cartão de vacinação.";Domingo à Domingo das 07:30 às 17:41;-8.081732;-34.938194
Centro de Saúde Gaspar Regueira;"Rua Padre Diogo Rodrigues, s/n";Barro;;"Os usuários devem levar um documento oficial de identificação e documentos comprobatórios e/ou comprovante de residência em seu nome, quando for necessário. Nos casos de 2a dose, levar documento e o cartão de vacinação.";Domingo à Domingo das 07:30 às 17:30;-8.089518;-34.941030
Centro de Saúde Iná Rosa Borges;"Rua Sen. Milton de Campos, 59-1";Vasco da Gama;;"Os usuários devem levar um documento oficial de identificação e documentos comprobatórios e/ou comprovante de residência em seu nome, quando for necessário. Nos casos de 2a dose, levar documento e o cartão de vacinação.";Domingo à Domingo das 07:30 às 17:30;-8.015915;-34.921325
Centro de Saúde Romero Marques;"Rua Carlos Gomes, 932";Prado;;"Os usuários devem levar um documento oficial de identificação e documentos comprobatórios e/ou comprovante de residência em seu nome, quando for necessário. Nos casos de 2a dose, levar documento e o cartão de vacinação.";Domingo à Domingo das 07:30 às 17:30;-8.063483;-34.913671
Centro de Saúde Bruno Maia;"Rua Alto do Refúgio, s/n";Nova Descoberta;;"Os usuários devem levar um documento oficial de identificação e documentos comprobatórios e/ou comprovante de residência em seu nome, quando for necessário. Nos casos de 2a dose, levar documento e o cartão de vacinação.";Domingo à Domingo das 07:30 às 17:30;-7.997922;-34.926733
Centro de Vacinação – Geraldão;"Av. Mal. Mascarenhas de Morais, 7787";Imbiribeira;34977455;"Os usuários devem levar um documento oficial de identificação e documentos comprobatórios e/ou comprovante de residência em seu nome, quando for necessário. Nos casos de 2a dose, levar documento e o cartão de vacinação.";Domingo à Domingo das 07:30 às 18:30;-8.116975;-34.912572
Centro de Vacinação - Parque da Macaxeira;"Av. Norte Miguel Arraes de Alencar, S/N";Macaxeira;;"Os usuários devem levar um documento oficial de identificação e documentos comprobatórios e/ou comprovante de residência em seu nome, quando for necessário. Nos casos de 2a dose, levar documento e o cartão de vacinação.";Domingo à Domingo das 07:30 às 18:30;-8.014331;-34.931501
Centro de Vacinação - Upa-E Ibura;"Av. Dois Rios, 170";Ibura;;"Os usuários devem levar um documento oficial de identificação e documentos comprobatórios e/ou comprovante de residência em seu nome, quando for necessário. Nos casos de 2a dose, levar documento e o cartão de vacinação.";Domingo à Domingo das 07:30 às 18:30;-8.109862;-34.936450
Centro de Vacinação UFPE;"Av. Jornalista Aníbal Fernandes, s/n";Cidade Universitária;;"Os usuários devem levar um documento oficial de identificação e documentos comprobatórios e/ou comprovante de residência em seu nome, quando for necessário. Nos casos de 3a dose, levar documento e o cartão de vacinação.";Domingo à Domingo das 07:30 às 17:31;-8.054121;-34.949538
Drive Thru -  Geraldão;"Av. Mal. Mascarenhas de Morais, 7787";Imbiribeira;;"Os usuários devem levar um documento oficial de identificação e documentos comprobatórios e/ou comprovante de residência em seu nome, quando for necessário. Nos casos de 2a dose, levar documento e o cartão de vacinação.";Domingo à Domingo das 07:30 às 17:30;-8.116975;-34.912572
Drive Thru - Parque da Macaxeira;"Av. Norte Miguel Arraes de Alencar, S/N";Macaxeira;;"Os usuários devem levar um documento oficial de identificação e documentos comprobatórios e/ou comprovante de residência em seu nome, quando for necessário. Nos casos de 2a dose, levar documento e o cartão de vacinação.";Domingo à Domingo das 07:30 às 17:30;-8.014331;-34.931501
Policlínica Agamenon Magalhães;"R. Motocolombó, 63";Afogados;;"Os usuários devem levar um documento oficial de identificação e documentos comprobatórios e/ou comprovante de residência em seu nome, quando for necessário. Nos casos de 4a dose, levar documento e o cartão de vacinação.";Domingo à Domingo das 07:30 às 17:32;-8.080503;-34.905808
Policlínica Albert Sabin;"Rua Padre Roma, 191";Tamarineira;;"Os usuários devem levar um documento oficial de identificação e documentos comprobatórios e/ou comprovante de residência em seu nome, quando for necessário. Nos casos de 2a dose, levar documento e o cartão de vacinação.";Domingo à Domingo das 07:30 às 17:30;-8.033732;-34.905086
Policlínica Amaury Coutinho;"Rua Iguatu, s/n";Campina do Barreto;;"Os usuários devem levar um documento oficial de identificação e documentos comprobatórios e/ou comprovante de residência em seu nome, quando for necessário. Nos casos de 2a dose, levar documento e o cartão de vacinação.";Domingo à Domingo das 07:30 às 17:30;-8.016989;-34.882770
Policlínica Centro - PAM;"R. 1º de Março, 90";Santo Antônio;;"Os usuários devem levar um documento oficial de identificação e documentos comprobatórios e/ou comprovante de residência em seu nome, quando for necessário. Nos casos de 7a dose, levar documento e o cartão de vacinação.";Domingo à Domingo das 07:30 às 17:35;-8.063888;-34.877234
Policlínica Clementino Fraga;"R. Japaratuba, 260";Vasco da Gama;;"Os usuários devem levar um documento oficial de identificação e documentos comprobatórios e/ou comprovante de residência em seu nome, quando for necessário. Nos casos de 8a dose, levar documento e o cartão de vacinação.";Domingo à Domingo das 07:30 às 17:36;-8.019131;-34.919767
Policlínica do Pina;"Av. República do Líbano, 355";Pina;;"Os usuários devem levar um documento oficial de identificação e documentos comprobatórios e/ou comprovante de residência em seu nome, quando for necessário. Nos casos de 2a dose, levar documento e o cartão de vacinação.";Domingo à Domingo das 07:30 às 17:30;-8.085640;-34.890370
Policlínica Gouveia de Barros;"Largo da Santa Cruz, s/n";Boa Vista;;"Os usuários devem levar um documento oficial de identificação e documentos comprobatórios e/ou comprovante de residência em seu nome, quando for necessário. Nos casos de 2a dose, levar documento e o cartão de vacinação.";Domingo à Domingo das 07:30 às 17:30;-8.061830;-34.887857
Policlínica Lessa de Andrade;"Estr. dos Remédios, 2416";Madalena;;"Os usuários devem levar um documento oficial de identificação e documentos comprobatórios e/ou comprovante de residência em seu nome, quando for necessário. Nos casos de 6a dose, levar documento e o cartão de vacinação.";Domingo à Domingo das 07:30 às 17:34;-8.058480;-34.906852
Policlínica Salomão Kelner;"Estrada Velha de água Fria, 1652";Água Fria;;"Os usuários devem levar um documento oficial de identificação e documentos comprobatórios e/ou comprovante de residência em seu nome, quando for necessário. Nos casos de 2a dose, levar documento e o cartão de vacinação.";Domingo à Domingo das 07:30 às 17:30;-8.020507;-34.895815
Policlínica Waldemar de Oliveira;"R. do Pombal, 115";Santo Amaro;;"Os usuários devem levar um documento oficial de identificação e documentos comprobatórios e/ou comprovante de residência em seu nome, quando for necessário. Nos casos de 5a dose, levar documento e o cartão de vacinação.";Domingo à Domingo das 07:30 às 17:33;-8.051844;-34.884971
UBT Djair Brindeiro;"Rua Cosmorama, s/n";Boa Viagem;;"Os usuários devem levar um documento oficial de identificação e documentos comprobatórios e/ou comprovante de residência em seu nome, quando for necessário. Nos casos de 2a dose, levar documento e o cartão de vacinação.";Domingo à Domingo das 07:30 às 17:30;-8.142672;-34.911873
UBT Francisco Pignatari;"Estrada do Arraial, 4155";Casa Amarela;;"Os usuários devem levar um documento oficial de identificação e documentos comprobatórios e/ou comprovante de residência em seu nome, quando for necessário. Nos casos de 2a dose, levar documento e o cartão de vacinação.";Domingo à Domingo das 07:30 às 17:30;-8.027325;-34.918625
UBT Ivo Rabelo;"Av. Campina Grande, 199";Cohab;;"Os usuários devem levar um documento oficial de identificação e documentos comprobatórios e/ou comprovante de residência em seu nome, quando for necessário. Nos casos de 2a dose, levar documento e o cartão de vacinação.";Domingo à Domingo das 07:30 às 17:30;-8.119683;-34.947884
UBT Joaquim Cavalcanti;"Av. Estrada do Forte do Arraial Novo do Bom Jesus, 1350";Torrões;;"Os usuários devem levar um documento oficial de identificação e documentos comprobatórios e/ou comprovante de residência em seu nome, quando for necessário. Nos casos de 2a dose, levar documento e o cartão de vacinação.";Domingo à Domingo das 07:30 às 17:30;-8.058722;-34.931883
